File Name,Photo Taken Time,Photo Creation Time
IMG_20180929_173528.jpg.json,"Sep 29, 2018, 4:35:29 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180929_173759.jpg.json,"Sep 29, 2018, 4:37:59 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180929_173831.jpg.json,"Sep 29, 2018, 4:38:32 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180929_173920.jpg.json,"Sep 29, 2018, 4:39:21 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180929_174153.jpg.json,"Sep 29, 2018, 4:41:54 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180929_175623.jpg.json,"Sep 29, 2018, 4:56:23 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180929_181342.jpg.json,"Sep 29, 2018, 5:13:42 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180929_181347.jpg.json,"Sep 29, 2018, 5:13:48 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180929_214457.jpg.json,"Sep 29, 2018, 8:44:58 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180930_002906.jpg.json,"Sep 29, 2018, 11:29:07 PM UTC","Sep 29, 2023, 11:26:03 AM UTC"
IMG_20180930_015633.jpg.json,"Sep 30, 2018, 12:56:34 AM UTC","Sep 29, 2023, 11:26:03 AM UTC"
metadata.json,,
20180114215523.png.json,"Jan 14, 2018, 8:55:25 PM UTC","Jan 14, 2018, 8:59:24 PM UTC"
20180114215605.png.json,"Jan 14, 2018, 8:56:05 PM UTC","Jan 14, 2018, 8:59:44 PM UTC"
20180114215620.png.json,"Jan 14, 2018, 8:56:20 PM UTC","Jan 14, 2018, 9:00:06 PM UTC"
20180118210229.png.json,"Jan 18, 2018, 8:02:29 PM UTC","Jan 18, 2018, 8:02:51 PM UTC"
20180118210256.png.json,"Jan 18, 2018, 8:02:56 PM UTC","Jan 18, 2018, 8:05:05 PM UTC"
FB_IMG_1514720738800.jpg.json,"Dec 31, 2017, 11:45:38 AM UTC","Dec 31, 2017, 11:45:52 AM UTC"
IMG_1510741656143.jpg.json,"Nov 15, 2017, 10:27:37 AM UTC","Nov 15, 2017, 10:28:02 AM UTC"
IMG_1510955506065.jpg.json,"Nov 17, 2017, 9:51:47 PM UTC","Nov 17, 2017, 9:52:15 PM UTC"
IMG_20171128_093108.jpg.json,"Nov 28, 2017, 8:31:07 AM UTC","Nov 28, 2017, 8:32:04 AM UTC"
IMG_20171128_163359.jpg.json,"Nov 28, 2017, 3:33:59 PM UTC","Nov 28, 2017, 3:34:27 PM UTC"
IMG_20171128_163433.jpg.json,"Nov 28, 2017, 3:34:33 PM UTC","Nov 28, 2017, 3:35:03 PM UTC"
IMG_20171128_163724.jpg.json,"Nov 28, 2017, 3:37:24 PM UTC","Nov 28, 2017, 3:38:14 PM UTC"
IMG_20171128_163749.jpg.json,"Nov 28, 2017, 3:37:49 PM UTC","Nov 28, 2017, 3:38:35 PM UTC"
IMG_20171204_161138.jpg.json,"Dec 4, 2017, 3:11:38 PM UTC","Dec 4, 2017, 3:12:17 PM UTC"
IMG_20171204_171714.jpg.json,"Dec 4, 2017, 4:17:14 PM UTC","Dec 4, 2017, 4:18:28 PM UTC"
IMG_20171204_171721.jpg.json,"Dec 4, 2017, 4:17:21 PM UTC","Dec 4, 2017, 4:19:04 PM UTC"
IMG_20171205_163825.jpg.json,"Dec 5, 2017, 3:38:25 PM UTC","Dec 5, 2017, 3:38:42 PM UTC"
IMG_20171212_140850.jpg.json,"Dec 12, 2017, 1:08:51 PM UTC","Dec 12, 2017, 4:06:17 PM UTC"
IMG_20171231_200824.jpg.json,"Dec 31, 2017, 7:08:24 PM UTC","Dec 31, 2017, 7:08:40 PM UTC"
IMG_20180108_160112.jpg.json,"Jan 8, 2018, 3:01:12 PM UTC","Jan 8, 2018, 3:04:56 PM UTC"
IMG_20180108_160136.jpg.json,"Jan 8, 2018, 3:01:36 PM UTC","Jan 8, 2018, 3:07:38 PM UTC"
IMG_20180108_160152.jpg.json,"Jan 8, 2018, 3:01:52 PM UTC","Jan 8, 2018, 3:08:12 PM UTC"
IMG_20200211_175331.jpg.json,"Feb 11, 2020, 4:53:31 PM UTC","Feb 11, 2020, 4:55:01 PM UTC"
Screenshot_20180111-154319.jpg.json,"Jan 11, 2018, 2:43:19 PM UTC","Jan 11, 2018, 2:47:06 PM UTC"
Screenshot_20211029-212047330.jpg.json,"Oct 29, 2021, 7:20:47 PM UTC","Oct 30, 2021, 1:14:01 AM UTC"
Screenshot_20211030-181134536.jpg.json,"Oct 30, 2021, 4:11:34 PM UTC","Oct 30, 2021, 9:39:47 PM UTC"
Screenshot_20211104-211033884.jpg.json,"Nov 4, 2021, 8:10:33 PM UTC","Nov 4, 2021, 10:20:21 PM UTC"
Screenshot_20211104-211459953.jpg.json,"Nov 4, 2021, 8:14:59 PM UTC","Nov 4, 2021, 10:20:21 PM UTC"
Screenshot_20211107-145342562.jpg.json,"Nov 7, 2021, 1:53:42 PM UTC","Nov 7, 2021, 2:08:41 PM UTC"
Screenshot_20211107-145408609.jpg.json,"Nov 7, 2021, 1:54:08 PM UTC","Nov 7, 2021, 2:08:41 PM UTC"
Screenshot_20211107-175453121.jpg.json,"Nov 7, 2021, 4:54:53 PM UTC","Nov 7, 2021, 8:22:01 PM UTC"
Screenshot_20211107-204639969.jpg.json,"Nov 7, 2021, 7:46:39 PM UTC","Nov 7, 2021, 8:22:02 PM UTC"
Screenshot_20211109-083404699.jpg.json,"Nov 9, 2021, 7:34:04 AM UTC","Nov 9, 2021, 9:44:19 AM UTC"
Screenshot_20211109-102719563.jpg.json,"Nov 9, 2021, 9:27:19 AM UTC","Nov 9, 2021, 9:44:19 AM UTC"
Screenshot_20211109-141346615.jpg.json,"Nov 9, 2021, 1:13:46 PM UTC","Nov 9, 2021, 1:14:02 PM UTC"
Screenshot_20211109-143200942.jpg.json,"Nov 9, 2021, 1:32:00 PM UTC","Nov 9, 2021, 1:32:15 PM UTC"
Screenshot_20211112-132804268.jpg.json,"Nov 12, 2021, 12:28:04 PM UTC","Nov 12, 2021, 12:28:23 PM UTC"
Screenshot_20211114-110754183.jpg.json,"Nov 14, 2021, 10:07:54 AM UTC","Nov 14, 2021, 10:08:11 AM UTC"
Screenshot_20211117-104607604.jpg.json,"Nov 17, 2021, 9:46:07 AM UTC","Nov 17, 2021, 9:58:44 AM UTC"
Screenshot_20211117-185605529.jpg.json,"Nov 17, 2021, 5:56:05 PM UTC","Nov 17, 2021, 10:26:17 PM UTC"
Screenshot_20211119-122944222.jpg.json,"Nov 19, 2021, 11:29:44 AM UTC","Nov 19, 2021, 2:17:44 PM UTC"
Screenshot_20211120-151333973.jpg.json,"Nov 20, 2021, 2:13:33 PM UTC","Nov 20, 2021, 7:27:37 PM UTC"
